date,enddate,location,city,state,presenter,piece,role,notes
10/27/2017,,Truman State University,Kirksville,MO,North Star Music Festival,improvisation,,"Tim Aubuchon, saxophone; Ted Moore, laptop"
10/5/2017,10/6/2017,Transylvania University,Lexington,KY,Studio 300,attackSUSTAINrelease,,
9/27/2017,,Iowa State University,Ames,IA,Lipa Festival,Solstice Orrery,Video Design,Scott Miller
8/7/2017,8/11/2017,Studio Z,St. Paul,MN,Zeitgeist,Composer Workshop,Composer,Zeitgeist
7/14/2017,,The Walden School,Dublin,NH,Splinter Reeds,"feedback vii: speak, contain",Composer,Splinter Reeds
5/31/2017,,Black Dog Cafe & Bar,St. Paul,MN,Ars Electroacoustica,improvisation,Laptop Improviser,"Ted Moore, laptop; Scott Miller, laptop; Kyle Hutchins, saxophone; Nathan Hanson, saxophone"
5/26/2017,,Fresh Oysters Performance Research,Minneapolis,MN,Skewed Visions,APPETITE,"Composer, Performer","Ted Moore, laptop sound & video design; Charles Campbell, text & movement"
4/22/2017,,Macphail Center for Music,Minneapolis,MN,MacPhail Center for Music,Gymnopedies,"Composer, Performer","Ted Moore, laptop; Andy Myers, glockenspiel; Carlynn Savot, cello"
4/21/2017,,St. Cloud State University,St. Cloud,MN,SEAMUS,APSIS,"Composer, Performer","Ted Moore, laptop & video design; Strains New Music Ensemble (Kyle Hutchins, tenor saxophone; Joey Crane, cello; Patti Cudd, percussion; James DeVoll, flute)"
4/20/2017,,The Nest at The Pickled Loon,St. Cloud,MN,SEAMUS,improvisation,Laptop Improviser,"Ted Moore, laptop; Scott Miller, laptop; Adam Zahller, bass recorder; Kyle Hutchins, saxophone"
4/8/2017,,Spectrum,New York,NY,Reembodied Sound: Transducer Conference,it teaches us that it doesn't exist,"Composer, Performer",
3/19/2017,,House Concert,Minneapolis,MN,Ars Electroacoustica,improvisation,Laptop Improviser,"Ted Moore, laptop; Scott Miller, laptop; Jacqueline Ultan, cello"
2/28/2017,3/3/2017,A-Mill Artist Lofts,Minneapolis,MN,Catherine Dalton,Bluets,Sound Designer,
2/25/2017,,Luther College,Decorah,IA,Iowa Composers Forum,it teaches us that it doesn't exist,"Composer, Performer",
2/10/2017,,Georgia Southern University,Statesboro,GA,Root Signals Electronic Music Festival,feedback IV,"Composer, Performer",
1/19/2017,,Khyber Pass Cafe,St. Paul,MN,Kevin Cosgrove,FEATHERMUCKER,"Composer, Performer","The Dream Songs Project (Alyssa Anderson, soprano; Joseph Spoelstra, guitar), Ted Moore, laptop"
11/29/2016,,Reverie Cafe and Bar,Minneapolis,MN,Ars Electroacoustica,improvisation,improvisor,"Ted Moore, laptop; Pat O'Keefe, clarinet; Scott Miller, laptop"
11/10/2016,,University of Wisconson La Crosse,La Crosse,WI,University of Wisconson La Crosse New Music Festival,feedback iii: air,"Composer, Performer","Ted Moore, laptop, tubes, and video design; Carlynn Savott, cello"
11/10/2016,,University of Wisconson La Crosse,La Crosse,WI,University of Wisconson La Crosse New Music Festival,it teaches us that it doesn't exist,"Composer, Performer","Ted Moore, feedback cymbal"
11/10/2016,,University of Wisconson La Crosse,La Crosse,WI,University of Wisconson La Crosse New Music Festival,"no-input mixer, eurorack synthesizer, and live video improvisation","Composer, Performer","Ted Moore, no-input mixer, eurorack synthesizer, video design"
11/6/2016,,First Lutheran Church,White Bear Lake,MN,Jeremy Johnston,it teaches us that it doesn't exist,Composer,"Jeremy Johnston, feedback cymbal"
11/4/2016,,Reverie,Minneapolis,MN,Ars Electroacoustica,improvisation,improvisor,"Ted Moore, laptop; Adam Zahller, recorder"
10/29/2016,,CMS Conference,Santa Fe,NM,Pink Noise Project,improvisation,Laptop Improviser,"Binary Canary (Ted Moore, laptop; Kyle Hutchins, woodwinds)"
10/27/2016,,University of New Mexico,Albuquerque,NM,Pink Noise Project,improvisation,Laptop Improviser,"Binary Canary (Ted Moore, laptop; Kyle Hutchins, woodwinds)"
10/26/2016,,Fort Lewis College,Durango,CO,Pink Noise Project,improvisation,Laptop Improviser,"Binary Canary (Ted Moore, laptop; Kyle Hutchins, woodwinds)"
10/24/2016,,Metropolitan State University,Denver,CO,Pink Noise Project,improvisation,Laptop Improviser,"Binary Canary (Ted Moore, laptop; Kyle Hutchins, woodwinds)"
10/20/2016,,Pearson Lakes Art Center,Okoboji,IA,Jeremy Johnston,it teaches us that it doesn't exist,Composer,"Jeremy Johnston, feedback cymbal"
10/16/2016,,Bethlehem Lutheran Church,Two Harbors,MN,Jeremy Johnston,it teaches us that it doesn't exist,Composer,"Jeremy Johnston, feedback cymbal"
10/7/2016,10/22/2016,Fresh Oysters Performance Research,Minneapolis,MN,Skewed Visions,The Ballad of Curtis King (recording),Laptop Improviser,"Binary Canary (Ted Moore, laptop; Kyle Hutchins, woodwinds)"
9/16/2016,,Macphail Center for Music,Minneapolis,MN,Ted Moore,APSIS,"Composer, Performer","Ted Moore, laptop & video design; Strains New Music Ensemble (Benjamin Cold, tenor saxophone; Carlynn Savott, cello; Jeremy Johnston, percussion; James DeVoll, flute)"
9/16/2016,,Macphail Center for Music,Minneapolis,MN,Ted Moore,if two things don't fit...,"Composer, Performer","Ted Moore, laptop; Alyssa Anderson, soprano; Benjamin Cold, saxophones"
9/16/2016,,Macphail Center for Music,Minneapolis,MN,Ted Moore,eurorack improvisation,"eurorack improvisor, video designer","Ted Moore, eurorack synthesizer & video design; Sarah Porwoll-Lee, clarinets"
9/13/2016,,Reverie,Minneapolis,MN,Ars Electroacoustica,improvisation,Laptop Improviser,"Ted Moore, laptop; Scott Miller, laptop; Noah Ophoven-Baldwin, trumpet"
6/22/2016,,Walden School,Dublin,NH,Quince Contemporary Vocal Ensemble,only that there's a secret,Composer,"Quince Contemporary Vocal Ensemble (Elizabeth Pearse, soprano; Kayleigh Butcher, mezzo soprano; Amanda DeBoer Bartlett, soprano; Carrie Henneman Shaw, soprano)"
6/7/2016,,National Sawdust,Brooklyn,NY,NYC Electoacoustic Music Festival,improvisation,Laptop Improviser,"Binary Canary (Ted Moore, laptop; Kyle Hutchins, woodwinds)"
5/28/2016,,Fallout Arts,Minneapolis,MN,Ted Moore,FEATHERMUCKER,"Composer, Performer","The Dream Songs Project (Alyssa Anderson, soprano; Joseph Spoelstra, guitar), Ted Moore, laptop"
5/27/2016,,The Riverboat,Minneapolis,MN,Punk Ass Classical,FEATHERMUCKER,"Composer, Performer","The Dream Songs Project (Alyssa Anderson, soprano; Joseph Spoelstra, guitar), Ted Moore, laptop"
5/22/2016,,MacPhail Center for Music,Minneapolis,MN,Ted Moore & Katie Condon,Live Film Score of Berlin: A City Symphony,Laptopist,"Katie Condon, piano; Ted Moore, laptop"
4/24/2016,,Reverie,Minneapolis,MN,Ars Electroacoustica,improvisation,Laptop Improviser,"Ted Moore, laptop; Scott Miller, laptop; Sarah Porwoll-Lee, clarinets; Nick Zielinski, drums"
4/14/2016,,Landmark Center,St. Paul,MN,American Composers Forum,FEATHERMUCKER (excerpt),Composer,"The Dream Songs Project (Alyssa Anderson, mezzo soprano; Joseph Spoelstra, guitar)"
4/10/2016,,Univ. of Wisconsin La Crosse,La Crosse,WI,Univ. of Wisconsin La Crosse,Leviathan,"Composer, Performer","Sarah Porwoll-Lee, bass clarinet; Ted Moore, laptop"
3/25/2016,3/26/2016,Patrick's Cabaret,Minneapolis,MN,Patrick's Cabaret,improvisation,Laptop Improviser,"Binary Canary (Ted Moore, laptop; Kyle Hutchins, woodwinds)"
3/20/2016,,Honey,Minneapolis,MN,Ars Electroacoustica,improvisation,Laptop Improviser,"Ted Moore, laptop; Scott Miller, laptop; Adam Zahller, recorders"
3/15/2016,,Reverie,Minneapolis,MN,Ars Electroacoustica,improvisation,Laptop Improviser,"Ted Moore, laptop; Scott Miller, laptop; Jorrit Dijkstra, saxophone; Nathan Hanson, saxophone"
3/11/2016,,Texas Tech University,Lubbock,TX,North American Saxophone Alliance,improvisation,Laptop Improviser,"Binary Canary (Ted Moore, laptop; Kyle Hutchins, woodwinds)"
3/9/2016,,University of North Texas,Denton,TX,University of North Texas,improvisation,Laptop Improviser,"Binary Canary (Ted Moore, laptop; Kyle Hutchins, woodwinds)"
3/5/2016,,SPACE,St. Paul,MN,LoSo (Ted Moore),APSIS,"Composer, Performer, Video Desiger","Kyle Hutchins, tenor saxophone; James DeVoll, alto flute; Carlynn Savot, cello; Jeremy Johnston, perc.; Ted Moore, laptop"
2/21/2016,,Honey,Minneapolis,MN,Ars Electroacoustica,improvisation,Laptop Improviser,"Ted Moore, laptop; Scott Miller, laptop; Jacqueline Ultan, cello"
2/20/2016,,University of Iowa,Iowa City,IA,Craig Hultgren,The Eye of Horus,Composer,"Craig Hultgren, cello"
2/12/2016,2/26/2016,The Southern Theater,Minneapolis,MN,Savage Umbrella,June,Composer,
2/12/2016,,Punk Ass Classical,Minneapolis,MN,Punk Ass Classical,improvisation,Laptop Improviser,"Binary Canary (Ted Moore, laptop; Kyle Hutchins, woodwinds)"
2/9/2016,,Luther College,Decorah,IA,Craig Hultgren,The Eye of Horus,Composer,"Craig Hultgren, cello"
2/8/2016,,University of Northern Iowa,Cedar Falls,IA,Craig Hultgren,The Eye of Horus,Composer,"Craig Hultgren, cello"
1/29/2016,,St. Ambrose University,Davenport,IA,Craig Hultgren,The Eye of Horus,Composer,"Craig Hultgren, cello"
1/24/2016,,Fallout Arts,Minneapolis,MN,Strains New Music Ensemble,thread fork thread,Composer,"Kyle Hutchins, tenor saxophone; James DeVoll, alto flute; Carlynn Savot, cello; Jeremy Johnston, perc."
1/24/2016,,Dreamland Arts,St. Paul,MN,The Dream Songs Project,FEATHERMUCKER,"Composer, Performer","Ted Moore, laptop; Alyssa Anderson, soprano; Joseph Spoelstra, guitar"
1/23/2016,,Dreamland Arts,St. Paul,MN,Strains New Music Ensemble,thread fork thread,Composer,"Kyle Hutchins, tenor saxophone; James DeVoll, alto flute; Carlynn Savot, cello; Jeremy Johnston, perc."
1/23/2016,,Plymouth Congregational Church,Minneapolis,MN,The Dream Songs Project,FEATHERMUCKER,"Composer, Performer","Ted Moore, laptop; Alyssa Anderson, soprano; Joseph Spoelstra, guitar"
1/22/2016,,James J. Hill House,St. Paul,MN,The Dream Songs Project,FEATHERMUCKER,"Composer, Performer","Ted Moore, laptop; Alyssa Anderson, soprano; Joseph Spoelstra, guitar"
1/17/2016,,The Nicollet,Minneapolis,MN,Ars Electroacoustica,improvisation,Laptop Improviser,"Ted Moore, laptop; Scott Miller, laptop; Dan Lippel, guitar"
1/16/2016,,Zahller Residence,Minneapolis,MN,Ars Electroacoustica,improvisation,Laptop Improviser,"Ted Moore, laptop; Scott Miller, laptop; Dan Lippel, guitar"
1/15/2016,,The Nest at The Pickled Loon,St. Cloud,MN,Ars Electroacoustica,improvisation,Laptop Improviser,"Ted Moore, laptop; Scott Miller, laptop; Dan Lippel, guitar"
1/12/2016,,Homewood Studios,St. Paul,MN,Blake Nellis,Mad Minute,Composer,
12/11/2015,,Mound Westonka High School,Minnetonka,MN,Sarah Porwoll-Lee,leviathan,"Composer, Performer","Sarah Porwoll-Lee, bass clarinet; Ted Moore, laptop"
12/11/2015,,Mound Westonka High School,Minnetonka,MN,Sarah Porwoll-Lee,,Guest Lecturer,
11/15/2015,,Honey,Minneapolis,MN,Ars Electroacoustica,improvisation,Performer,"Ted Moore, laptop; Scott Miller, laptop; Elaine Evans, trumpet"
